FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
19/07/1924,  0,  Nulo ,20,  12,
20/07/1924,  0,  Nulo ,19,  12,
21/07/1924,  0,  Nulo ,20,  13,
22/07/1924,  0,  Nulo ,24,  15,
23/07/1924,  0,  Nulo ,24,  14,
24/07/1924,  0,  Nulo ,22,  16,
25/07/1924,  0,  Nulo ,22,  17,
26/07/1924,  0,  Nulo ,24.5 ,  14,
27/07/1924,  0,  Nulo, 23, 14.5,
28/07/1924,  0,  Nulo ,23.5 ,  15,
29/07/1924,  0,  Nulo, 22, 14.5,
30/07/1924,  0,  Nulo ,23,  14,
31/07/1924,  0,  Nulo ,23,  15,
01/08/1924,  8.4 ,  Nulo ,24,  10,
02/08/1924,  23.2,  Nulo ,23,  10 ,
03/08/1924,  0,  Nulo ,21,  12 ,
04/08/1924,  0,  Nulo ,20,  13 ,
05/08/1924,  0,  Nulo ,25,  13 ,
06/08/1924,  0,  Nulo ,26,  11 ,
07/08/1924,  0,  Nulo ,25,  10 ,
08/08/1924,  0,  Nulo ,24,  10 ,
09/08/1924,  0,  Nulo ,24,  10 ,
10/08/1924,  8.2 ,  Nulo, 25  ,9 ,
11/08/1924,  10.2,  Nulo ,24,  10 ,
12/08/1924,  8.5 ,  Nulo ,24,  10 ,
13/08/1924,  2.5 ,  Nulo ,25,  10 ,
14/08/1924,  0,  Nulo, 26  ,10.5 ,
15/08/1924,  0,  Nulo ,26,  11 ,
16/08/1924,  0,  Nulo ,26.5 ,  11 ,
17/08/1924,  6.2 ,  Nulo, 25  ,10.5 ,
18/08/1924,  0,  Nulo, 25  ,10.5 ,
19/08/1924,  0,  Nulo, 22  ,10.5 ,
20/08/1924,  0,  Nulo  ,  22 , 9.5 ,
21/08/1924,  29.4,  Nulo ,23,  12 ,
22/08/1924,  0,  Nulo, 23  ,10.5 ,
23/08/1924,  2.5 ,  Nulo ,24,  10 ,
24/08/1924,  0,  Nulo ,23,  10 ,
25/08/1924,  0,  Nulo ,21,  11 ,
26/08/1924,  0,  Nulo  ,  21.5  , 9.5 ,
27/08/1924,  0,  Nulo, 22  ,9 ,
28/08/1924,  0,  Nulo ,23,  10 ,
29/08/1924,  0,  Nulo, 22  ,11.5 ,
30/08/1924,  19.5,  Nulo, 23  ,11.5 ,
31/08/1924,  0,  Nulo ,  Nulo  ,  11 ,
01/09/1924,  5.5 ,  Nulo ,23,  11 ,
02/09/1924,  5.3 ,  Nulo, 24  ,11.5 ,
03/09/1924,  0,  Nulo, 20  ,10.5 ,
04/09/1924,  21.2,  Nulo, 19  ,11.5 ,
05/09/1924,  0,  Nulo ,19,  10 ,
06/09/1924,  0,  Nulo ,23,  12 ,
07/09/1924,  28.7,  Nulo, 23  ,11.5 ,
08/09/1924,  35  ,  Nulo ,23,  10 ,
09/09/1924,  33.7,  Nulo ,20,  10 ,
10/09/1924,  12.5,  Nulo ,20.5 ,  10 ,
11/09/1924,  0,  Nulo, 20  ,9 ,
12/09/1924,  0,  Nulo  ,  21.5  , 9.5 ,
13/09/1924,  0,  Nulo ,20,  10 ,
14/09/1924,  0,  Nulo  ,  20 , 9.5 ,
15/09/1924,  0,  Nulo, 21.5,10.5 ,
16/09/1924,  0,  Nulo  ,  21 , 9.5 ,
17/09/1924,  0,  Nulo ,21.5 ,  10 ,
18/09/1924,  0,  Nulo ,20,  10 ,
19/09/1924,  0,  Nulo, 16  ,8 ,
20/09/1924,  0,  Nulo  ,  18 , 9.5 ,
